"NO","ROI_ID","SampleID","SI","Amplitude","1H(CS)","13C(CS)","1H(LW)","13C(LW)","Designate_vPC"
42030,"ROI81","Dd5.1","9",296361.97,3.366,74.4,9.4,20,"vPC831"
42033,"ROI135","Dc5.2","33",296324.31,1,22.47,20,20,"vPC544"
42034,"ROI431","Dd2.1","6",296301.12,1.031,34.9,20,8.2,"vPC1127"
42035,"ROI331","Dc3.1","2",296239.37,1.573,23.79,20,20,"vPC825"
42036,"ROI1","Do7.3","86",296218.69,0.707,12.381,13.7,20,"vPC553"
42038,"ROI208","Do7.2","57",296182.21,3.501,60.64,20,20,"vPC805"
42043,"ROI1","Df3.1","14",296142.23,0.703,12.425,12,20,"vPC553"
42044,"ROI3","Dd4.3","66",296135.03,0.973,12.124,20,19,"vPC690"
42045,"ROI261","Dd1.3","63",296123.5,2.189,28.46,20,20,"vPC481"
42046,"ROI84","Df1.1","12",296123.38,3.541,72.18,20,20,"vPC644"
42047,"ROI256","Do5.1","26",296100.69,4.298,104.49,20,20,"vPC642"
42048,"ROI136","Dn3.1","18",296038.27,3.769,75.56,20,20,"vPC626"
42050,"ROI433","Dn6.1","21",296023.69,1.316,22.38,20,20,"vPC1551"
42052,"ROI375","Dn2.2","46",296001.78,3.642,74.22,20,20,"vPC1631"
42054,"ROI216","Df2.3","71",295978.96,1.114,12.007,16.4,20,"vPC1383"
42055,"ROI208","Do6.1","27",295963.26,3.498,60.66,20,20,"vPC805"
42056,"ROI279","Dd6.3","68",295939.44,1.061,38.32,20,20,"vPC505"
42057,"ROI380","Df4.3","73",295905.18,3.554,74.57,20,20,"vPC576"
42059,"ROI497","Do6.3","85",295889.12,3.132,55.39,20,20,"vPC1870"
42060,"ROI450","Dc4.3","61",295858.81,4.176,87.96,17.9,20,"vPC1860"
42061,"ROI25","Dc2.3","59",295812.61,2.076,27.34,11.6,5,"vPC931"
42062,"ROI120","Do6.2","56",295807.99,6.706,105.35,20,20,"vPC887"
42064,"ROI131","Do5.1","26",295796.56,5.349,128.67,7.8,20,"vPC1135"
42066,"ROI134","Do3.1","24",295768.41,0.978,21.85,20,20,"vPC534"
42068,"ROI330","Dd4.3","66",295707.97,0.863,21.44,16,20,"vPC588"
42072,"ROI61","Dd4.2","37",295636.15,4.18,63.67,20,20,"vPC468"
42076,"ROI73","Dn5.1","20",295541.88,3.781,70.93,20,20,"vPC193"
42080,"ROI247","Dn3.1","18",295469.57,3.747,78.7,20,20,"vPC1047"
42081,"ROI6","Dn6.1","21",295459.09,1.018,14.149,12.1,20,"vPC1298"
