ID,GroupID,SI,Amplitude,Center,LW..Hz.
13362,441,21,657874.14,"1.405,  31.87","20.0,   20.0"
13381,2478,21,440429.77,"2.294,  34.78","20.0,   20.0"
13406,4099,21,310855.83,"1.379,  21.19","20.0,   20.0"
13468,441,21,260180.37,"1.368,  30.31","8.6,   20.0"
13498,4224,21,316439.53,"2.754,  45.64","20.0,   20.0"
13502,4225,21,276851.02,"5.483, 112.58","20.0,    7.1"
13548,1712,21,438250.59,"1.923,  41.58","20.0,   20.0"
13567,441,21,86566.01,"1.288,  29.64","5.0,    5.0"
13571,650,21,345693.65,"3.380,  78.65","20.0,   20.0"
13586,2799,21,335629.43,"2.469,  46.61","20.0,   20.0"
13602,2853,21,405078.51,"1.984,  33.47","20.0,   20.0"
13627,1929,21,143210.5,"1.034,  7.073","6.5,   20.0"
13646,2959,21,340625.51,"1.250,  17.98","20.0,   20.0"
13703,1194,21,393508.47,"1.613,  22.60","20.0,   20.0"
13704,4099,21,308460.01,"0.797,  19.40","20.0,   20.0"
13736,2991,21,376375.73,"1.169,  25.90","20.0,   20.0"
13758,4299,21,166250.16,"5.242, 107.42","6.1,    5.0"
13764,1287,21,427344.52,"2.047,  29.85","20.0,   20.0"
13783,1904,21,231282.1,"3.276,  53.13","19.8,    5.0"
13805,1287,21,430252.87,"1.847,  27.75","20.0,   20.0"
13807,441,21,325458.28,"1.268,  26.81","20.0,   20.0"
13873,1996,21,225437.76,"0.699, 12.459","9.9,   20.0"
13901,957,21,383805.35,"3.746,  68.60","20.0,   20.0"
13903,4099,21,332216.71,"0.869,  20.65","20.0,   20.0"
13964,900,21,363684.71,"3.693,  72.54","20.0,   20.0"
13977,4358,21,447169.58,"1.828,  38.47","20.0,   20.0"
14020,1570,21,260486.83,"2.331,  49.73","5.0,   20.0"
14025,900,21,72297.9,"3.464,  73.94","20.0,   20.0"
14050,1287,21,461328.72,"2.022,  28.92","20.0,   20.0"
14077,4393,21,322859.96,"2.519,  34.60","20.0,   20.0"
14156,2630,21,405513.62,"3.596,  63.14","20.0,    5.0"
